param_name,estimate,init_value,lower_bound,upper_bound,source,note
log10_lam_min,TRUE,-1.305351,-1.857333,-0.159175,literature_tumor_cycle,lam_min in transformed scale (log10 day^-1)
delta_lam,TRUE,-1.203973,-13.815511,0.693147,default_engineering,lam_max = lam_min + exp(delta_lam)
log10_k_o,TRUE,0.255273,-0.301030,0.698970,literature_oxygen_prior,k_o in %O2 (conservative truncation [0.5 to 5])
log10_p_misseg,TRUE,-1.259637,-1.346787,-1.187087,literature_tumor_prior,per-copy misseg probability (log10 scale); keep misseg pressure high enough to avoid the low-p_misseg ridge
log10_k_o_mis,TRUE,-0.455932,-0.823909,-0.221849,literature_oxygen_prior,k_o_mis in %O2; lower range delays strong misseg until later/deeper hypoxia
log10_beta_loss,TRUE,-1.022276,-1.096910,-0.920819,default_engineering,intrinsic daughter viability loss-side penalty strength (log10 scale)
logit_gain_loss_ratio,FALSE,-1.734601,-2.197225,-1.098612,default_engineering,deprecated/unused in single-axis total-ploidy model (kept for backward compatibility)
log10_p_wgd,TRUE,-5.000000,-8.000000,-4.000000,literature_tumor_prior,p_wgd transformed as log10 probability
log10_o2_init_pct,TRUE,0.361728,0.301030,0.414973,literature_oxygen_prior,initial oxygen (%) transformed; slightly lower to bring hypoxia onset earlier
log10_o2_rate,TRUE,-0.154902,-0.301030,0.000000,default_engineering,GLF curve rate transformed; faster oxygen decline supports later-stage convergence pressure
log10_o2_shape_v,TRUE,0.008600,-0.022276,0.060698,literature_oxygen_prior,Richards/GLF shape v transformed (moderate [0.95 to 1.15])
log10_rho_2N,TRUE,4.643453,4.579784,4.716003,literature_cell_density,2N cell density (cells/mm^3) transformed
beta_size,TRUE,0.450000,0.350000,0.550000,literature_allometry,ploidy-size allometric exponent; trimmed to reduce chronic 4N burden overweighting
log10_alpha_o2,TRUE,0.041393,-0.154902,0.255273,default_engineering,weak background hypoxia growth-damping strength (transformed); moderate range under fixed eta_hypoxia=0.5
gamma_growth,TRUE,2.000000,1.000000,3.000000,default_engineering,ploidy-size growth damping exponent (relevant/estimable only when growth_penalty_ploidy=TRUE in this variant)
log10_mu_hp,TRUE,-2.000000,-4.000000,-1.301030,default_engineering,hypoxia-linked continuous death strength (transformed)
log10_k_clear,TRUE,-2.744727,-3.000000,-2.522879,default_engineering,dead-cell clearance rate (transformed day^-1)
log10_sigma_burden,TRUE,-0.698970,-0.769551,-0.619789,default_engineering,burden log-normal observation SD (transformed); tighter upper bound to reduce slack
