param_name,estimate,init_value,lower_bound,upper_bound,source,note
log10_lam_min,TRUE,-1.305351,-1.857333,-0.159175,literature_tumor_cycle,lam_min in transformed scale (log10 day^-1)
delta_lam,TRUE,-1.203973,-13.815511,0.693147,default_engineering,lam_max = lam_min + exp(delta_lam)
log10_k_o,TRUE,0.255273,-0.301030,0.698970,literature_oxygen_prior,k_o in %O2 (conservative truncation [0.5 to 5])
log10_p_misseg,TRUE,-2.000000,-3.301030,-1.522879,constrained_test_v2,p_misseg relaxed versus v1 so ploidy can move without restoring a strong death channel
log10_k_o_mis,TRUE,0.000000,-0.698970,0.477121,literature_oxygen_prior,k_o_mis in %O2 (conservative truncation [0.2 to 3])
beta_buffer,TRUE,0.010000,0.000000,0.050000,constrained_test_v2,buffering kept weak so misseg-related death cannot dominate after death=FALSE
log10_n_exp,TRUE,0.000000,-0.301030,0.176091,constrained_test_v2,n_exp constrained to moderate buffering curvature
log10_smax,TRUE,-0.004365,-0.017729,-0.000435,constrained_test_v2,smax stays very close to 1 so misseg mainly redistributes surviving daughters across coarse ploidy states
log10_beta_loss,TRUE,-2.000000,-2.301030,-1.522879,constrained_test_v2,loss penalty kept light-to-moderate to preserve viable ploidy movement
logit_gain_loss_ratio,TRUE,-2.751535,-3.891820,-1.992430,constrained_test_v2,gain penalty remains much weaker than loss penalty
log10_p_wgd,TRUE,-4.500000,-8.000000,-3.500000,literature_tumor_prior,p_wgd transformed as log10 probability
log10_o2_init_pct,TRUE,0.380211,0.255273,0.505150,literature_oxygen_prior,initial oxygen (%) transformed
log10_o2_rate,TRUE,-0.301030,-1.000000,0.079181,default_engineering,GLF curve rate transformed
log10_o2_shape_v,TRUE,0.000000,-0.045757,0.113943,literature_oxygen_prior,Richards/GLF shape v transformed (conservative [0.9 to 1.3])
log10_rho_2N,TRUE,4.626669,4.505150,4.748188,literature_cell_density,2N cell density (cells/mm^3) transformed
beta_size,TRUE,0.350000,0.200000,0.600000,literature_allometry,ploidy-size allometric exponent
log10_alpha_o2,TRUE,-4.000000,-5.000000,-3.522879,constrained_test_v2,hypoxia growth penalty remains weak because lam_eff uses exp(-alpha_o2 * N^2 * h_o2)
gamma_growth,TRUE,2.000000,2.000000,2.000000,default_engineering,ploidy-size growth damping exponent (fixed at 2)
log10_mu_hp,TRUE,-2.000000,-4.000000,-1.301030,default_engineering,hypoxia-linked high-ploidy death strength (inactive when death=FALSE)
log10_k_clear,TRUE,-3.522879,-5.000000,-2.000000,default_engineering,dead-cell clearance rate (transformed day^-1)
log10_sigma_burden,TRUE,-0.602060,-0.823909,-0.455932,constrained_test_v2,burden SD upper bound stays tightened so optimization cannot ignore burden fit
