"node_id","parent_id","edge_type","claim_text","node_type","figure_number","panel_id","panel_goal","visual_form","primary_or_supplement","evidence_status"
"R0","","","Resource limitation rewires ploidy evolution through opposing chromosome-content costs and buffering advantages.","root_thesis","Figure 2","A","State the manuscript thesis as a compact mechanism overview.","Summary schematic linking resource stress to chromosome-content cost, CIN/WGD pressure, and high-ploidy missegregation buffering.","primary","not_audited"
"C1","R0","supports","Matched SUM159 near-2N and near-4N lineages enable environment-dependent in vitro/in vivo comparison.","main_biological_claim","Figure 1","A","Show why the comparison is interpretable across culture and tumor contexts.","Timeline/data-stream panel showing the same 2N/4N starting system split into in vitro and in vivo measurements.","primary","not_audited"
"C2","R0","mechanism","Resource limitation can both oppose and promote high ploidy.","main_biological_claim","Figure 2","B","Define the opposing model mechanisms that make ploidy outcomes context dependent.","Mechanism schematic: chromosome-content cost and stress death oppose high ploidy while CIN/WGD generation and survival buffering can preserve or create high ploidy.","primary","not_audited"
"C3","R0","qualifies","The tumor setting is broader than lower oxygen and should be interpreted as an effective in vivo resource-stress regime.","main_biological_claim","Figure 4","A","Prevent literal overinterpretation of oxygen as the only in vivo stress variable.","In vivo versus in vitro stress-context schematic contrasting fixed known O2 in culture with effective tumor resource stress.","primary","not_audited"
"C4","R0","supports","Joint soft-coupled fits infer context-specific proliferation, CIN, and survival-filter axes between in vivo and in vitro.","main_biological_claim","Figure 4","B","Show the inferred axes that differ between contexts.","Paired parameter or ratio forest plot comparing in vivo and in vitro soft-coupled axes: proliferative ceiling, stress-linked missegregation, and ploidy-dependent survival filtering.","primary","not_audited"
"C5","R0","supports","Dominant ploidy state is resource-regime dependent.","main_biological_claim","Figure 5","A","Organize fixed-O2 behavior into low, intermediate, and high resource regimes.","Fixed-O2 regime panel with low/intermediate/high O2 bands and dominant drivers annotated.","primary","not_audited"
"C6","R0","qualifies","Multiple fitted solution regions may represent distinct biological regimes rather than purely optimizer noise.","main_biological_claim","Figure 6","A","Show that fitted solutions occupy structured parameter regions with candidate biological interpretations.","Prior-aware parameter-landscape plot with clusters or regions, representative fixed-O2 curve classes, and candidate regime labels.","primary","not_audited"
"C7","R0","supports","Separate in vitro fits show oxygen reshapes ploidy without requiring strong high-ploidy elimination.","main_biological_claim","Figure 3","A","Summarize the in vitro-only fit as a permissive culture regime with weak direct high-ploidy burden effects.","In vitro fit panel showing growth and ploidy trajectories with weak lower-bound high-ploidy growth-penalty parameters annotated.","primary","not_audited"
"C8","C7","mechanism","In vitro ploidy reduction can arise from CIN-generated variation plus ploidy-dependent missegregation survival buffering.","main_biological_claim","Figure 3","B","Explain how downward chromosome-number reshaping can coexist with high-ploidy persistence in vitro.","Mechanistic trajectory panel showing high-ploidy cells missegregating more often, viable chromosome-loss daughters, and downward ploidy movement.","primary","not_audited"
"S10","C4","supports","Separate in vivo fits provide the in vivo side of the context comparison by testing tumor burden and terminal ploidy/necrosis constraints.","supporting_analysis_claim","Figure 3","C","Add a conservative in vivo-fit bridge between separate-fit panels and the joint in vivo/in vitro comparison.","Separate in vivo fit panel comparing observed and fitted tumor burden trajectories with terminal ploidy and necrosis constraint summaries, keyed to the in_vivo_top_10 report set.","primary","not_audited"
