figure_stem	major_section_key	major_section_title	major_section_order	result_order	result_id	subsection_title	figure_title	legend_explanation	result_interpretation	limitation_note
overview_dominant_class_matrix	overview	Overview: pair and parameter landscape	3	1	overview-class-matrix	Dominant classes are highly stable within pairs	Dominant ratio class and seed agreement across pairs	Blue, gold, and orange cells denote ClassA, ClassB, and ClassC. Each cell prints the dominant class letter and the percentage of fitting seeds assigned to that class. Column labels identify the pair and its ploidy category.	Use the class labels to locate consistent in-vivo decreases, approximate coupling, and increases before examining continuous ratio magnitude.	A dominant class summarizes 500 optimization seeds; it does not make those seeds independent biological replicates.
overview_pair_parameter_ratio_map	overview	Overview: pair and parameter landscape	3	2	overview-ratio-map	Continuous ratios reveal magnitude hidden by class labels	Pair-by-parameter log2 in-vivo/in-vitro ratio landscape	Blue tiles are negative log2 ratios, white is ratio 1, and orange tiles are positive log2 ratios. Printed signed values are pair-level median log2 ratios; color intensity is symmetric around zero.	Read this map before the class matrix when the size of the in-vivo/in-vitro difference matters, because two values in the same class may have very different magnitudes.	Color saturation is bounded for readability, so use the printed value or source table for exact extremes.
within_pair_class_composition	within_pair	Within-pair soft-coupling stability	4	1	within-class-composition	Seed composition identifies strict and mixed classifications	Within-pair ClassA, ClassB, and ClassC seed composition	Each horizontal stacked bar represents all available seeds for one pair and parameter and sums to 100%. Blue is ClassA, gold is ClassB, and orange is ClassC; ClassB uses 1/1.1 to 1.1.	Bars concentrated in one color indicate numerical stability across optimizer initializations; mixed bars identify threshold-crossing solutions.	Seed composition measures fitting stability within a pair, not population prevalence.
within_pair_class_entropy	within_pair	Within-pair soft-coupling stability	4	2	within-class-entropy	Entropy isolates seed-sensitive parameter calls	Normalized class entropy within each pair	Cells range from light for entropy 0 to dark gold for entropy 1. Printed values are normalized entropy: 0 means every seed has one class, whereas 1 is the maximum A/B/C mixture.	Low entropy confirms that a parameter's class is insensitive to optimizer initialization within the pair.	Entropy does not indicate whether the dominant class is biologically correct or whether the estimate is identifiable.
within_pair_class_stability_levels	within_pair	Within-pair soft-coupling stability	4	3	within-stability-levels	Union, graded cores, and intersections separate weak from strict membership	Union, stable-core, and strict-intersection membership by class	Columns are ratio classes and cells are colored by the strongest membership level: union, stable-80, stable-90, stable-95, or strict 100% intersection. Printed percentages give the seed proportion in that class for the pair and parameter.	This hierarchy distinguishes a parameter observed in a class at least once from one assigned to the same class in every seed.	The stability cutoffs are descriptive thresholds and should be interpreted with the continuous ratio distribution.
within_pair_classB_direction	within_pair	Within-pair soft-coupling stability	4	4	within-classb-direction	ClassB can still be directionally asymmetric around ratio 1	Direction of ratios inside the ClassB coupling band	Only ClassB seeds are included. Blue denotes ratios below 1, the neutral fill denotes ratio exactly 1, and orange denotes ratios above 1; each bar is the directional composition among ClassB seeds.	A parameter may satisfy the coupling band while consistently lying on one side of equality, revealing residual directional asymmetry.	Parameters without ClassB seeds are omitted, and direction within the band should not be mistaken for a large effect.
within_pair_ratio_distributions	within_pair	Within-pair soft-coupling stability	4	5	within-ratio-distributions	Distributions show whether class calls are compact or cutoff driven	Seed-level log2 ratio distributions within each pair	Blue violins show the full seed distribution, white boxes show the median and interquartile range, the black vertical line is ratio 1 on the log2 scale, and the gold vertical band marks ClassB between log2(1/1.1) and log2(1.1).	Compact distributions far from the gold band support stable ClassA or ClassC calls; distributions touching a cutoff require more cautious classification.	Very narrow violins can reflect optimizer convergence as well as limited parameter uncertainty.
between_pair_class_consensus	between_pair	Between-pair soft-coupling stability	5	1	between-class-consensus	Consensus distinguishes pair-specific from cross-pair classes	Cross-pair dominant-class consensus by parameter	Point color gives the cross-pair dominant class: blue ClassA, gold ClassB, or orange ClassC. Horizontal position is the fraction of pairs sharing that class, labels give the exact count out of six, and vertical guides mark 80%, 90%, and 95%.	Parameters at six of six pairs provide the clearest evidence for a directionally consistent in-vivo/in-vitro shift.	Only six pairs are available, so one pair changes the consensus fraction by 16.7 percentage points.
between_pair_all_class_rankings	between_pair	Between-pair soft-coupling stability	5	2	between-class-rankings	Pair-balanced rankings compare all three classes on equal footing	Pair-balanced ClassA, ClassB, and ClassC parameter rankings	The three panels correspond to ClassA, ClassB, and ClassC. Points are pair-balanced mean seed proportions and gray horizontal intervals are 95% pair-bootstrap intervals; panel colors follow the class palette.	Rankings identify which parameters most consistently occupy each class without allowing pairs with more seeds to dominate.	Bootstrap intervals resample only six pairs and therefore describe sensitivity to the observed pairs rather than a population-level certainty bound.
between_pair_stable90_core_coverage	between_pair	Between-pair soft-coupling stability	5	3	between-stable90-coverage	Stable-90 coverage identifies the broadest cross-pair cores	Cross-pair stable-90 core coverage	Each panel is one ratio class. The point and direct label give how many of six pairs have at least 90% of seeds in that class; the gray segment connects zero to the observed pair count.	Six of six marks a parameter that is seed-stable in the same class across every available pair.	The 90% rule is a prespecified descriptive cutoff and does not test biological replication.
between_pair_log2_ratio_forest	between_pair	Between-pair soft-coupling stability	5	4	between-log2-ratio-forest	Pair intervals expose direction, magnitude, and seed spread	Pair-specific log2 ratio medians and seed intervals	Points show the median log2 in-vivo/in-vitro ratio, gray horizontal intervals span the 5th to 95th seed percentiles, and point fill gives the dominant class. The black vertical line is ratio 1 and the gold band is ClassB.	This forest view shows whether cross-pair class disagreement reflects genuinely different effect directions or values near a cutoff.	Intervals summarize optimization seeds within a pair and are not confidence intervals for independent biological samples.
process_parameter_class_map	process	Biological-process interpretation	6	1	process-parameter-map	Parameter-level profiles connect classes to model mechanisms	Soft-coupling classes grouped by biological process	Rows are parameters grouped by their audited primary process and columns are ClassA, ClassB, and ClassC. Gold intensity and printed percentages give the pair-balanced seed proportion assigned to each class.	The map links consistent coupling behavior to hypoxia sensing, growth, death, CIN, WGD, and post-missegregation buffering mechanisms.	Process labels come from the model parameter table; class association alone does not establish a causal biological mechanism.
process_class_profile	process	Biological-process interpretation	6	2	process-class-profile	Process averages summarize direction but can hide parameter heterogeneity	Pair-balanced class profile by biological process	Panels correspond to ClassA, ClassB, and ClassC. Each point is the mean pair-balanced seed proportion across parameters in the process, with class-specific point colors and gray segments from zero.	Use this summary to compare broad process tendencies, then return to the parameter map to identify which parameter drives the average.	Processes contain different numbers and roles of parameters, so their averages are descriptive rather than directly comparable effect sizes.
ploidy_pair_category_assignment	ploidy_categories	Ploidy trajectory categories and diagnostics	7	1	ploidy-pair-assignment	Each pair has one stable ploidy category	Ploidy-trajectory category assignment for each pair	Point color identifies CatA, CatB, CatC, or CatU. Horizontal position is the fraction of seeds assigned to the pair's dominant category, and labels report the category and exact seed agreement.	The figure verifies that all 500 seeds within each pair receive the same primary ploidy category.	Because no pair contains multiple categories, within-pair CatA/B/C effects are not estimable.
ploidy_category_archetypes	ploidy_categories	Ploidy trajectory categories and diagnostics	7	2	ploidy-category-archetypes	Archetypes distinguish maintained, one-stage, and two-stage decline	Pair-balanced CatA, CatB, and CatC ploidy trajectories	Teal, orange, and purple curves denote CatA, CatB, and CatC. Ribbons span the 25th to 75th percentile of pair medians; panels separate 2N and 4N cohorts. Dashed and dotted horizontal lines mark chromosome numbers 44 and 22.	The archetypes provide the operational trajectory shapes used to interpret category-specific parameter patterns.	Each category contains two pairs, so ribbons summarize the observed pair medians rather than a broad biological population.
ploidy_pair_trajectories	ploidy_categories	Ploidy trajectory categories and diagnostics	7	3	ploidy-pair-trajectories	Pair trajectories confirm reproducibility without merging cohorts	Pair-specific 0-1000 day ploidy trajectories	Line and ribbon color identifies the assigned ploidy category. Lines are seed medians, ribbons are seed interquartile ranges, columns are pairs, and rows separate 2N and 4N cohorts. Horizontal references mark 44 and 22 chromosomes.	This view checks whether the category label reflects both initial-ploidy cohorts and whether the trajectory is reproducible across seeds.	The displayed spread is within-pair simulation variation conditional on fitted parameters.
ploidy_representative_trajectories	ploidy_categories	Ploidy trajectory categories and diagnostics	7	4	ploidy-representative-trajectories	Representative trajectories make detected transitions auditable	Representative trajectories with detected drop starts	Curve color identifies the ploidy category. One deterministic representative seed is shown per pair and cohort; dashed and dotted vertical lines mark the first and second detected drop starts, while horizontal references mark 44 and 22 chromosomes.	The representative traces provide a direct visual audit of the automated one-stage versus two-stage transition calls.	One representative seed cannot display the full within-pair spread and must be read alongside the pair trajectory summary.
ploidy_category_transition_diagnostics	ploidy_categories	Ploidy trajectory categories and diagnostics	7	5	ploidy-transition-diagnostics	Plateau duration and model support separate CatB from CatC	CatB/C transition diagnostics	Each point is one pair by seed by initial cohort. Color identifies the assigned category and shape identifies 2N or 4N. The vertical guide is a 60-day plateau and the horizontal guide is delta BIC of -10; CatC support lies to the right and below these guides.	The joint diagnostic tests whether a delayed second decline is supported by both plateau duration and stronger two-transition fit.	Threshold proximity indicates sensitivity, and the plotted categories remain model-derived rather than experimentally observed states.
cat_ratio_class_pair_balanced_profile	category_association	Ploidy category and parameter-class association	8	1	cat-class-profile	Cat-by-Class profiles identify candidate category-specific coupling patterns	Pair-balanced CatA/B/C by ClassA/B/C profile	Rows are parameters and columns are Cat-by-Class combinations. Gold intensity and printed percentages give the mean seed proportion after weighting each contributing pair equally.	The matrix highlights parameters whose coupling class changes across ploidy categories while avoiding seed-level pseudoreplication.	Each Cat contains only two pairs, and category is confounded with pair identity.
cat_ratio_class_pair_level_effect_size	category_association	Ploidy category and parameter-class association	8	2	cat-class-effect-size	Effect-size rankings are descriptive with six pair-level observations	Pair-level Cat-by-dominant-class association strength	Gold points show descriptive pair-level Cramer's V from zero to one and gray segments connect zero to the observed value. Parameters with no class variation have no estimable Cramer's V.	Higher values flag candidate parameters whose dominant class pattern differs across CatA, CatB, and CatC.	With six pairs and no within-pair category variation, the statistic cannot separate category effects from pair effects and should not be treated as inferential evidence.
